PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
86580,20191016,NVDA,NVIDIA CORP,194.21001,-0.011000,4
86580,20191017,NVDA,NVIDIA CORP,194.28999,0.000412,4
86580,20191018,NVDA,NVIDIA CORP,190.49001,-0.019558,4
86580,20191021,NVDA,NVIDIA CORP,196.00999,0.028978,4
86580,20191022,NVDA,NVIDIA CORP,195.61000,-0.002041,4
86580,20191023,NVDA,NVIDIA CORP,195.09000,-0.002658,4
86580,20191024,NVDA,NVIDIA CORP,196.86000,0.009073,4
86580,20191025,NVDA,NVIDIA CORP,204.53999,0.039012,4
86580,20191028,NVDA,NVIDIA CORP,206.78999,0.011000,4
86580,20191029,NVDA,NVIDIA CORP,202.92000,-0.018715,4
86580,20191030,NVDA,NVIDIA CORP,203.00000,0.000394,4
86580,20191031,NVDA,NVIDIA CORP,201.02000,-0.009754,4
86580,20191101,NVDA,NVIDIA CORP,202.59000,0.007810,4
86580,20191104,NVDA,NVIDIA CORP,210.50000,0.039044,4
86580,20191105,NVDA,NVIDIA CORP,209.61000,-0.004228,4
86580,20191106,NVDA,NVIDIA CORP,207.63000,-0.009446,4
86580,20191107,NVDA,NVIDIA CORP,208.34000,0.003420,4
86580,20191108,NVDA,NVIDIA CORP,207.78000,-0.002688,4
86580,20191111,NVDA,NVIDIA CORP,208.17999,0.001925,4
86580,20191112,NVDA,NVIDIA CORP,209.61000,0.006869,4
86580,20191113,NVDA,NVIDIA CORP,208.57001,-0.004962,4
86580,20191114,NVDA,NVIDIA CORP,209.78999,0.005849,4
86580,20191115,NVDA,NVIDIA CORP,204.19000,-0.026693,4
86580,20191118,NVDA,NVIDIA CORP,212.28000,0.039620,4
86580,20191119,NVDA,NVIDIA CORP,207.99001,-0.020209,4
86580,20191120,NVDA,NVIDIA CORP,211.17999,0.015337,4
86580,20191121,NVDA,NVIDIA CORP,210.17999,-0.004735,4
86580,20191122,NVDA,NVIDIA CORP,210.89000,0.003378,4
86580,20191125,NVDA,NVIDIA CORP,221.21001,0.048935,4
86580,20191126,NVDA,NVIDIA CORP,217.00000,-0.019032,4
86580,20191127,NVDA,NVIDIA CORP,218.24001,0.006452,4
86580,20191129,NVDA,NVIDIA CORP,216.74001,-0.006873,4
86580,20191202,NVDA,NVIDIA CORP,209.25000,-0.034558,4
86580,20191203,NVDA,NVIDIA CORP,207.66000,-0.007599,4
86580,20191204,NVDA,NVIDIA CORP,209.42000,0.008475,4
86580,20191205,NVDA,NVIDIA CORP,208.74001,-0.003247,4
86580,20191206,NVDA,NVIDIA CORP,212.17000,0.016432,4
86580,20191209,NVDA,NVIDIA CORP,212.17000,0.000000,4
86580,20191210,NVDA,NVIDIA CORP,213.98000,0.008531,4
86580,20191211,NVDA,NVIDIA CORP,217.34000,0.015702,4
86580,20191212,NVDA,NVIDIA CORP,224.07001,0.030965,4
86580,20191213,NVDA,NVIDIA CORP,223.99001,-0.000357,4
86580,20191216,NVDA,NVIDIA CORP,225.14999,0.005179,4
86580,20191217,NVDA,NVIDIA CORP,228.28999,0.013946,4
86580,20191218,NVDA,NVIDIA CORP,229.50999,0.005344,4
86580,20191219,NVDA,NVIDIA CORP,235.46001,0.025925,4
86580,20191220,NVDA,NVIDIA CORP,239.37000,0.016606,4
86580,20191223,NVDA,NVIDIA CORP,238.82001,-0.002298,4
86580,20191224,NVDA,NVIDIA CORP,238.62000,-0.000838,4
86580,20191226,NVDA,NVIDIA CORP,239.19000,0.002389,4
86580,20191227,NVDA,NVIDIA CORP,236.87000,-0.009699,4
86580,20191230,NVDA,NVIDIA CORP,232.32001,-0.019209,4
86580,20191231,NVDA,NVIDIA CORP,235.30000,0.012827,4
86580,20200102,NVDA,NVIDIA CORP,239.91000,0.019592,4
86580,20200103,NVDA,NVIDIA CORP,236.07001,-0.016006,4
86580,20200106,NVDA,NVIDIA CORP,237.06000,0.004194,4
86580,20200107,NVDA,NVIDIA CORP,239.92999,0.012107,4
86580,20200108,NVDA,NVIDIA CORP,240.38000,0.001876,4
86580,20200109,NVDA,NVIDIA CORP,243.02000,0.010983,4
86580,20200110,NVDA,NVIDIA CORP,244.32001,0.005349,4
86580,20200113,NVDA,NVIDIA CORP,251.98000,0.031352,4
86580,20200114,NVDA,NVIDIA CORP,247.28000,-0.018652,4
86580,20200115,NVDA,NVIDIA CORP,245.57001,-0.006915,4
86580,20200116,NVDA,NVIDIA CORP,248.92999,0.013682,4
86580,20200117,NVDA,NVIDIA CORP,249.28000,0.001406,4
86580,20200121,NVDA,NVIDIA CORP,247.94000,-0.005375,4
86580,20200122,NVDA,NVIDIA CORP,250.05000,0.008510,4
86580,20200123,NVDA,NVIDIA CORP,252.86000,0.011238,4
86580,20200124,NVDA,NVIDIA CORP,250.48000,-0.009412,4
